freq,unit,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,Y15-24,M,CZ,,,7.5,8.8,8.3,5.8,4.2,5.6,6.2,4.8,5.6,4.4,4.6,4.3,2015,4.5
A,PC,Y15-24,M,HU,,,6.1,11.7,10.1,10.7,10.6,10.0,11.3,13.3,12.6,10.1,5.4,2.9,2015,7.1
A,PC,Y15-24,M,PL,,,12.4,11.0,9.1,6.4,5.5,6.6,5.9,6.8,6.3,6.1,2.9,3.3,2015,5.5
A,PC,Y15-24,M,RO,,,,,8.1,7.6,6.4,5.5,5.1,4.7,5.5,4.8,4.1,7.0,2015,4.7
A,PC,Y15-24,M,SK,,,5.2,4.6,5.0,3.7,3.8,5.0,5.5,6.1,7.2,6.6,4.4,,2015,5.8
A,PC,Y15-24,T,AT,54.6,4.8,5.2,5.9,5.7,5.0,5.2,6.2,6.2,5.3,4.8,6.3,5.5,,2015,5.9
A,PC,Y15-24,T,CZ,,,7.0,7.2,7.8,5.6,4.4,5.6,5.8,5.3,6.4,5.5,4.7,4.0,2015,5.1
A,PC,Y15-24,T,HU,,,6.8,10.8,10.4,11.2,10.2,10.4,11.3,13.7,13.4,11.9,5.4,4.3,2015,8.1
A,PC,Y15-24,T,PL,,,12.4,11.3,8.7,6.4,5.3,6.3,5.5,6.0,5.9,6.4,3.2,3.4,2015,5.6
A,PC,Y15-24,T,RO,,,,,7.2,7.2,6.2,5.6,5.4,5.6,5.7,5.0,3.9,7.6,2015,5.7
A,PC,Y15-24,T,SK,,,4.7,4.2,4.6,3.5,3.9,5.5,5.1,5.8,6.7,5.9,3.9,,2015,6.4
A,PC,Y15-29,F,AT,46.0,5.4,6.5,5.9,6.8,5.8,7.3,7.5,7.1,7.8,5.9,8.1,5.5,,2015,7.2
A,PC,Y15-29,F,CZ,,,6.9,6.1,6.8,5.5,4.7,5.1,5.8,6.3,6.7,7.3,6.1,3.9,2015,6.4
A,PC,Y15-29,F,HU,,,6.1,8.7,8.7,10.4,9.2,11.0,11.5,13.3,13.3,13.0,4.9,5.7,2015,8.2
A,PC,Y15-29,F,PL,,,11.7,10.8,7.1,5.3,4.6,5.6,4.8,4.6,5.2,6.4,3.3,3.4,2015,5.5
A,PC,Y15-29,F,RO,,,,,6.4,5.9,5.7,4.8,5.3,6.2,6.0,6.0,4.7,7.4,2015,6.7
A,PC,Y15-29,F,SK,,,4.3,3.8,4.3,3.2,3.8,5.8,4.7,5.3,5.9,5.6,4.0,,2015,6.7
A,PC,Y15-29,M,AT,44.8,5.4,6.6,6.7,6.3,4.8,4.5,6.6,7.9,6.2,5.9,6.5,6.4,,2015,7.0
A,PC,Y15-29,M,CZ,,,6.1,7.5,6.2,4.7,3.8,4.9,5.5,5.5,5.0,4.9,4.9,3.8,2015,4.4
A,PC,Y15-29,M,HU,,,5.0,10.2,8.9,9.2,9.4,9.1,10.5,12.8,12.5,10.3,4.9,3.2,2015,6.6
A,PC,Y15-29,M,PL,,,12.4,10.4,8.5,5.6,5.3,5.7,5.4,5.4,5.8,5.8,3.2,2.9,2015,5.2
A,PC,Y15-29,M,RO,,,,,7.4,6.5,5.4,5.7,5.5,5.7,5.4,5.3,4.2,6.4,2015,5.7
A,PC,Y15-29,M,SK,,,4.6,4.6,4.3,3.4,3.9,5.3,5.3,5.4,6.2,6.3,5.0,,2015,6.2
A,PC,Y15-29,T,AT,45.5,5.4,6.6,6.3,6.5,5.3,5.9,7.1,7.5,7.0,5.9,7.3,6.0,,2015,7.1
A,PC,Y15-29,T,CZ,,,6.5,6.8,6.5,5.1,4.2,5.0,5.6,5.9,5.8,6.1,5.4,3.9,2015,5.4
A,PC,Y15-29,T,HU,,,5.5,9.4,8.8,9.8,9.3,10.1,11.0,13.0,12.9,11.6,4.9,4.4,2015,7.4
A,PC,Y15-29,T,PL,,,12.1,10.6,7.8,5.5,5.0,5.7,5.1,5.0,5.5,6.1,3.2,3.1,2015,5.3
A,PC,Y15-29,T,RO,,,,,6.9,6.2,5.5,5.3,5.4,6.0,5.7,5.6,4.4,6.9,2015,6.2
A,PC,Y15-29,T,SK,,,4.5,4.2,4.3,3.3,3.9,5.5,5.0,5.3,6.1,6.0,4.5,,2015,6.4
A,PC,Y16-19,F,AT,,5.6,4.9,5.0,3.4,5.4,6.7,9.0,6.0,3.4,2.9,7.3,4.4,,2015,4.0
A,PC,Y16-19,F,CZ,,,4.8,5.3,8.7,6.0,5.1,5.2,7.4,9.5,9.7,7.7,5.5,3.1,2015,7.6
A,PC,Y16-19,F,HU,,,8.4,11.1,9.5,11.6,10.9,12.8,12.2,15.2,14.3,15.2,6.0,5.1,2015,9.2
A,PC,Y16-19,F,PL,,,11.1,12.3,9.1,6.0,4.6,5.0,4.4,5.4,5.4,6.2,2.4,3.8,2015,5.7
A,PC,Y16-19,F,RO,,,,,5.9,7.0,7.3,6.2,6.4,5.9,4.1,6.7,5.0,8.7,2015,8.8
A,PC,Y16-19,F,SK,,,3.7,3.7,3.9,3.0,3.4,6.2,4.4,6.5,7.8,5.6,3.6,,2015,5.9
A,PC,Y16-19,M,AT,,4.6,6.0,6.7,5.7,3.4,2.1,6.6,7.1,4.8,4.6,4.9,3.2,,2015,7.8
A,PC,Y16-19,M,CZ,,,10.1,10.4,9.0,7.3,5.7,5.9,8.7,6.3,6.0,5.4,4.5,4.1,2015,4.5
A,PC,Y16-19,M,HU,,,9.0,14.5,13.7,12.7,10.3,12.0,13.9,15.6,12.6,9.9,6.8,2.6,2015,10.5
A,PC,Y16-19,M,PL,,,13.2,11.9,9.5,6.6,5.3,6.1,5.6,6.2,6.2,7.0,3.7,3.1,2015,6.2
A,PC,Y16-19,M,RO,,,,,9.7,8.6,7.4,6.2,5.1,1.5,4.4,4.8,4.0,7.5,2015,4.3
A,PC,Y16-19,M,SK,,,6.6,6.1,6.4,4.5,5.1,6.2,6.5,5.9,7.7,6.0,5.0,,2015,5.4
A,PC,Y16-19,T,AT,,5.1,5.5,5.9,4.7,4.4,4.4,7.8,6.6,4.2,3.8,6.0,3.8,,2015,6.0
A,PC,Y16-19,T,CZ,,,7.6,7.9,8.9,6.7,5.4,5.5,8.1,7.7,7.7,6.5,5.0,3.6,2015,6.1
A,PC,Y16-19,T,HU,,,8.7,12.9,11.7,12.2,10.6,12.4,13.1,15.4,13.4,12.5,6.4,3.8,2015,9.9
A,PC,Y16-19,T,PL,,,12.2,12.1,9.3,6.3,5.0,5.6,5.0,5.8,5.8,6.6,3.1,3.5,2015,6.0
A,PC,Y16-19,T,RO,,,,,7.8,7.8,7.3,6.2,5.7,3.7,4.3,5.7,4.5,8.1,2015,6.4
A,PC,Y16-19,T,SK,,,5.1,4.9,5.2,3.7,4.3,6.2,5.6,6.1,7.7,5.8,4.3,,2015,5.7
A,PC,Y16-24,F,AT,58.3,5.9,5.6,6.4,5.5,6.1,6.3,6.6,6.0,6.3,4.7,8.1,6.4,,2015,4.9
A,PC,Y16-24,F,CZ,,,6.3,5.2,7.0,5.3,4.7,5.0,5.6,6.1,7.6,6.0,5.4,3.8,2015,5.7
A,PC,Y16-24,F,HU,,,7.1,10.1,10.6,11.2,9.7,10.8,11.3,13.5,14.1,13.6,5.3,5.8,2015,9.1
A,PC,Y16-24,F,PL,,,12.6,11.8,8.6,6.5,5.1,6.2,5.2,5.3,5.7,7.0,3.3,3.5,2015,5.5
