freq,sizeclas,sex,unit,geo,2006,2010,2014,time,values
A,GE10,T,EUR,HU,2.65,3.36,3.59,2022,5.73
A,GE10,T,EUR,PL,3.15,4.02,4.29,2022,6.9
A,GE10,T,EUR,RO,1.39,1.94,2.03,2022,5.55
A,GE10,T,EUR,SK,2.52,3.93,4.4,2022,7.72
A,GE10,T,NAC,AT,11.65,12.96,14.02,2022,17.65
A,GE10,T,NAC,CZ,100.79,116.1,125.43,2022,202.28
A,GE10,T,NAC,HU,700.64,926.79,1108.44,2022,2240.48
A,GE10,T,NAC,PL,12.26,16.07,17.96,2022,32.33
A,GE10,T,NAC,RO,4.89,8.16,9.02,2022,27.38
A,GE10,T,NAC,SK,93.82,3.93,4.4,2022,7.72
A,GE10,T,PPS,AT,11.08,11.74,13.25,2022,15.72
A,GE10,T,PPS,CZ,5.85,6.34,7.15,2022,10.21
A,GE10,T,PPS,HU,4.44,5.63,6.24,2022,8.86
A,GE10,T,PPS,PL,5.42,6.73,7.69,2022,11.23
A,GE10,T,PPS,RO,2.78,3.91,3.82,2022,9.93
A,GE10,T,PPS,SK,3.7,5.87,6.49,2022,9.74
