nuts2,gdp_mio_eur,gdp_pps_per_inh,employment_rate,tertiary_edu_pct,rd_pct_gdp,broadband_pct,internet_use_pct,population,country,is_budapest
RO11,29555.39,67.0,71.4,19.3,0.25,89.6,87.88,2537017.0,RO,0
RO12,27125.48,68.0,65.6,16.4,0.35,89.58,84.76,2302833.0,RO,0
RO21,25305.02,45.0,67.3,12.3,0.25,86.89,84.92,3163465.0,RO,0
RO22,24020.46,58.0,63.0,12.9,0.1,84.29,80.03,2351636.0,RO,0
RO31,27249.09,54.0,65.2,13.9,0.27,85.76,80.67,2868994.0,RO,0
RO32,67785.03,168.0,77.0,41.1,0.97,93.78,85.16,2327057.0,RO,0
RO41,18001.56,55.0,60.2,17.4,0.12,85.9,79.06,1892078.0,RO,0
RO42,21803.33,73.0,64.0,16.3,0.67,90.48,85.78,1758582.0,RO,0
ROZZ,141.19,,,,,,,,RO,0
SI03,22083.7,71.0,74.4,35.3,1.52,91.08,85.47,1105046.0,SI,0
SI04,29948.7,106.0,78.0,46.0,2.59,95.28,92.93,1003931.0,SI,0
SK01,29037.48,158.0,83.4,46.7,1.52,96.14,94.72,677024.0,SK,0
SK02,30471.82,66.0,77.3,23.6,0.78,89.38,88.82,1819399.0,SK,0
SK03,20629.33,62.0,73.9,24.5,0.72,90.51,89.57,1334238.0,SK,0
SK04,21752.93,54.0,68.5,27.7,0.57,87.04,86.11,1629120.0,SK,0
