freq,unit,incgrp,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,A_MD60,Y15-19,F,RO,,,,,7.6,9.2,9.9,5.8,4.7,6.9,8.1,8.7,2.5,1.8,2015,3.9
A,PC,A_MD60,Y15-19,F,SK,,,6.0,6.2,10.6,0.4,5.6,3.3,3.9,2.1,1.9,2.8,1.1,,2015,3.2
A,PC,A_MD60,Y15-19,M,AT,,0.4,0.6,0.2,0.1,0.8,0.2,1.4,0.3,0.2,0.1,1.4,0.0,,2015,0.4
A,PC,A_MD60,Y15-19,M,CZ,,,6.1,7.7,5.9,7.0,2.8,2.8,2.4,2.7,5.8,3.2,4.2,1.8,2015,3.7
A,PC,A_MD60,Y15-19,M,HU,,,14.5,5.5,5.0,5.2,3.3,6.4,5.6,8.5,8.3,8.3,2.9,2.5,2015,5.1
A,PC,A_MD60,Y15-19,M,PL,,,6.1,5.2,3.0,3.0,1.8,1.8,2.1,3.3,4.3,2.1,0.8,0.7,2015,1.8
A,PC,A_MD60,Y15-19,M,RO,,,,,10.6,12.9,7.3,6.4,6.1,8.7,6.5,4.2,1.1,1.6,2015,3.9
A,PC,A_MD60,Y15-19,M,SK,,,7.7,6.2,12.7,1.2,4.6,3.4,2.6,2.7,2.9,3.3,0.6,,2015,4.0
A,PC,A_MD60,Y15-19,T,AT,,0.8,0.6,0.9,0.1,0.4,0.1,1.2,0.5,0.5,0.3,1.3,0.0,,2015,0.7
A,PC,A_MD60,Y15-19,T,CZ,,,4.5,5.8,4.7,6.5,2.7,3.2,3.5,3.4,5.5,4.0,3.7,1.6,2015,3.1
A,PC,A_MD60,Y15-19,T,HU,,,14.8,6.0,5.7,5.7,3.4,5.8,5.3,7.0,8.4,6.8,3.3,1.4,2015,4.0
A,PC,A_MD60,Y15-19,T,PL,,,6.9,4.3,2.8,3.3,2.1,2.2,1.9,3.0,3.7,3.0,1.3,0.8,2015,1.7
A,PC,A_MD60,Y15-19,T,RO,,,,,9.1,11.1,8.6,6.1,5.4,7.8,7.2,6.4,1.8,1.7,2015,3.9
A,PC,A_MD60,Y15-19,T,SK,,,6.8,6.2,11.7,0.8,5.0,3.3,3.2,2.4,2.4,3.1,0.8,,2015,3.6
A,PC,A_MD60,Y15-24,F,AT,,2.7,1.4,1.8,0.9,1.5,0.4,1.0,1.7,2.3,1.1,1.9,0.9,,2015,2.3
A,PC,A_MD60,Y15-24,F,CZ,,,5.0,4.9,4.5,5.6,3.2,4.3,5.2,4.5,6.5,6.4,4.9,3.3,2015,4.4
A,PC,A_MD60,Y15-24,F,HU,,,13.4,7.3,7.9,8.1,4.0,6.8,6.7,8.8,8.5,8.1,4.9,2.3,2015,3.4
A,PC,A_MD60,Y15-24,F,PL,,,8.9,5.5,4.7,5.0,4.1,4.3,3.8,4.3,5.4,4.7,1.7,0.9,2015,4.0
A,PC,A_MD60,Y15-24,F,RO,,,,,8.4,10.2,8.1,7.0,5.8,8.1,7.6,7.9,3.8,5.2,2015,4.8
A,PC,A_MD60,Y15-24,F,SK,,,5.5,5.8,10.4,0.3,4.1,2.5,3.6,1.9,2.1,2.7,1.1,,2015,3.7
A,PC,A_MD60,Y15-24,M,AT,,2.6,1.1,1.3,0.4,2.4,0.9,2.4,0.6,0.8,1.2,1.1,0.5,,2015,1.4
A,PC,A_MD60,Y15-24,M,CZ,,,6.3,5.7,4.5,6.3,2.9,3.4,4.1,4.4,5.5,5.0,4.5,2.3,2015,4.5
A,PC,A_MD60,Y15-24,M,HU,,,12.9,5.3,5.8,6.2,3.1,6.8,6.9,10.3,9.3,8.2,3.1,4.4,2015,4.4
A,PC,A_MD60,Y15-24,M,PL,,,7.0,5.0,3.7,4.4,2.6,2.6,2.3,4.0,4.4,3.2,1.1,1.0,2015,2.8
A,PC,A_MD60,Y15-24,M,RO,,,,,10.9,10.6,8.6,7.9,5.0,8.2,8.3,5.6,2.0,3.8,2015,6.1
A,PC,A_MD60,Y15-24,M,SK,,,6.6,4.9,9.6,0.9,2.7,1.7,2.2,1.9,2.6,2.7,1.2,,2015,3.1
A,PC,A_MD60,Y15-24,T,AT,,2.7,1.2,1.5,0.7,2.0,0.7,1.8,1.2,1.5,1.2,1.5,0.7,,2015,1.8
