freq,quant_inc,coicop,unit,geo,1988,1994,1999,2005,2010,time,values
A,QU1,CP045,PM,AT,,54.4,61.2,50.0,59.0,2015,57.0
A,QU1,CP045,PM,CZ,,,,123.0,193.0,2015,177.0
A,QU1,CP045,PM,HU,,,,169.0,177.0,2015,133.0
A,QU1,CP045,PM,PL,,,,124.0,133.0,2015,117.0
A,QU1,CP045,PM,RO,,,,117.0,121.0,2015,126.0
A,QU1,CP045,PM,SK,,,,192.0,189.0,2015,161.0
A,QU1,CP05,PM,AT,,107.6,65.2,60.0,64.0,2015,62.0
A,QU1,CP05,PM,CZ,,,,59.0,54.0,2015,48.0
A,QU1,CP05,PM,HU,,,,43.0,29.0,2015,25.0
A,QU1,CP05,PM,PL,,,,31.0,35.0,2015,33.0
A,QU1,CP05,PM,RO,,,,24.0,25.0,2015,25.0
A,QU1,CP05,PM,SK,,,,28.0,32.0,2015,40.0
A,QU1,CP051,PM,AT,,37.9,30.7,24.0,23.0,2015,28.0
A,QU1,CP051,PM,CZ,,,,17.0,13.0,2015,11.0
A,QU1,CP051,PM,HU,,,,6.0,4.0,2015,1.0
A,QU1,CP051,PM,PL,,,,5.0,7.0,2015,7.0
A,QU1,CP051,PM,RO,,,,2.0,1.0,2015,1.0
A,QU1,CP051,PM,SK,,,,4.0,5.0,2015,11.0
A,QU1,CP052,PM,AT,,12.4,4.3,6.0,7.0,2015,2.0
A,QU1,CP052,PM,CZ,,,,5.0,5.0,2015,5.0
A,QU1,CP052,PM,HU,,,,2.0,1.0,2015,1.0
A,QU1,CP052,PM,PL,,,,2.0,3.0,2015,2.0
A,QU1,CP052,PM,RO,,,,2.0,3.0,2015,2.0
A,QU1,CP052,PM,SK,,,,2.0,2.0,2015,0.0
A,QU1,CP053,PM,AT,,25.4,11.1,10.0,12.0,2015,11.0
A,QU1,CP053,PM,CZ,,,,11.0,16.0,2015,11.0
A,QU1,CP053,PM,HU,,,,10.0,6.0,2015,3.0
A,QU1,CP053,PM,PL,,,,6.0,6.0,2015,5.0
A,QU1,CP053,PM,RO,,,,3.0,1.0,2015,1.0
A,QU1,CP053,PM,SK,,,,3.0,5.0,2015,9.0
A,QU1,CP054,PM,AT,,5.4,4.6,4.0,4.0,2015,3.0
A,QU1,CP054,PM,CZ,,,,4.0,4.0,2015,3.0
A,QU1,CP054,PM,HU,,,,1.0,1.0,2015,1.0
A,QU1,CP054,PM,PL,,,,2.0,2.0,2015,2.0
A,QU1,CP054,PM,RO,,,,1.0,1.0,2015,1.0
A,QU1,CP054,PM,SK,,,,2.0,3.0,2015,1.0
A,QU1,CP055,PM,AT,,8.8,2.3,4.0,4.0,2015,4.0
A,QU1,CP055,PM,CZ,,,,6.0,3.0,2015,3.0
A,QU1,CP055,PM,HU,,,,2.0,2.0,2015,2.0
A,QU1,CP055,PM,PL,,,,2.0,2.0,2015,2.0
A,QU1,CP055,PM,RO,,,,1.0,1.0,2015,0.0
A,QU1,CP055,PM,SK,,,,1.0,2.0,2015,3.0
A,QU1,CP056,PM,AT,,17.8,12.1,11.0,13.0,2015,13.0
A,QU1,CP056,PM,CZ,,,,16.0,15.0,2015,15.0
A,QU1,CP056,PM,HU,,,,21.0,15.0,2015,17.0
A,QU1,CP056,PM,PL,,,,15.0,15.0,2015,14.0
A,QU1,CP056,PM,RO,,,,16.0,19.0,2015,20.0
A,QU1,CP056,PM,SK,,,,16.0,15.0,2015,16.0
A,QU1,CP06,PM,AT,,20.0,21.0,26.0,36.0,2015,36.0
A,QU1,CP06,PM,CZ,,,,16.0,41.0,2015,34.0
A,QU1,CP06,PM,HU,,,,47.0,52.0,2015,46.0
A,QU1,CP06,PM,PL,,,,55.0,53.0,2015,51.0
A,QU1,CP06,PM,RO,,,,31.0,36.0,2015,45.0
A,QU1,CP06,PM,SK,,,,30.0,37.0,2015,38.0
A,QU1,CP061,PM,AT,,0.0,12.8,16.0,26.0,2015,21.0
A,QU1,CP061,PM,CZ,,,,13.0,30.0,2015,26.0
A,QU1,CP061,PM,HU,,,,38.0,47.0,2015,41.0
A,QU1,CP061,PM,PL,,,,45.0,43.0,2015,40.0
A,QU1,CP061,PM,RO,,,,26.0,32.0,2015,40.0
A,QU1,CP061,PM,SK,,,,24.0,33.0,2015,34.0
A,QU1,CP062,PM,AT,,9.4,6.8,7.0,8.0,2015,13.0
A,QU1,CP062,PM,CZ,,,,2.0,9.0,2015,6.0
A,QU1,CP062,PM,HU,,,,6.0,3.0,2015,4.0
A,QU1,CP062,PM,PL,,,,10.0,9.0,2015,10.0
A,QU1,CP062,PM,RO,,,,3.0,3.0,2015,5.0
A,QU1,CP062,PM,SK,,,,5.0,4.0,2015,4.0
A,QU1,CP063,PM,AT,,0.8,1.4,2.0,3.0,2015,3.0
A,QU1,CP063,PM,CZ,,,,0.0,2.0,2015,2.0
A,QU1,CP063,PM,HU,,,,2.0,2.0,2015,1.0
A,QU1,CP063,PM,PL,,,,1.0,1.0,2015,2.0
